"lexical_class","uni_lemma","valence","arousal","dominance"
"adjectives","long",NA,NA,NA
"verbs","look",5.95,3.76,5.88
"other","look at me",5.95,3.76,5.88
"verbs","look for",5.56,3.85,5
"adjectives","loud",5.65,6.6,5.57
"adverbs","loudly",NA,NA,NA
"verbs","love",8,5.36,5.92
"function_words","low",4.39,2.21,3.11
"verbs","lower",NA,NA,NA
"other","lullaby",7.57,3.79,6.05
"other","lunch",6.64,3.57,6.44
"other","lunchtime",7.26,4.95,6.7
"adjectives","mad",2.47,5.59,4.9
"other","mailman",5.32,3.32,4.82
"verbs","make",6.09,3.67,6.22
"other","man",5.42,4.36,5.44
"adjectives","many",5.64,4.33,5.61
"function_words","many",NA,NA,NA
"nouns","marker",5.8,4.05,5.48
"other","market",6.21,3.55,5.77
"function_words","me",NA,NA,NA
"nouns","meat",6.62,4.3,5.58
"nouns","meatball",6.68,4.79,5.38
"nouns","medicine",5.9,4,5.35
"nouns","melon",6.32,3.68,5.79
"other","meow",6.14,3.42,5.75
"nouns","milk",6.74,2.33,6.31
"function_words","mine",NA,NA,NA
"nouns","mirror",5.9,4.55,5.5
"nouns","mittens",5.6,2.33,5.91
"nouns","mold",2.71,3.77,4.5
"other","moment",6.1,4.05,6
"other","mommy",7.39,3.7,4.89
"nouns","money",7.1,6.86,6.32
"nouns","monkey",5.82,5.15,5.74
"other","moo",5.48,3.95,5.18
"nouns","moon",7,3.43,6.11
"nouns","moose",6.71,4.85,4.97
"nouns","mop",4.53,3.14,5.32
"function_words","more",NA,NA,NA
"other","morning",6.41,3.95,6.35
"nouns","mosquito",3.12,5.17,3.88
"other","mother's name",NA,NA,NA
"nouns","motorcycle",5.8,5.8,5.55
"nouns","mouse",4.8,3.38,4.29
"nouns","moustache",5.35,3.23,5.32
"nouns","mouth",5.59,4.14,6
"other","movie",7.24,4.39,5.68
"function_words","much",5.64,4.33,5.61
"other","much",5.64,4.33,5.61
"nouns","mud",5.06,3.19,4.27
"nouns","muffin",7.1,4.05,6.29
"nouns","mushrooms",NA,NA,NA
"nouns","music",7.67,5.57,6.5
"other","music",7.67,5.57,6.5
"function_words","my",NA,NA,NA
"function_words","myself",NA,NA,NA
"nouns","nail",4.6,3.05,5.17
"nouns","nails",5.57,3.5,4.73
"adjectives","naked",6.21,5.58,5.6
"verbs","name",5.62,3.04,5.14
"other","nap",6.53,4.14,5.91
"nouns","napkin",5.63,3.09,5.21
"adjectives","naughty",6.04,6.95,5.76
"function_words","near",NA,NA,NA
"nouns","neck",5.44,3.65,5.17
"nouns","necklace",6.85,3.52,5.64
"other","need",5.45,3.67,5.06
"function_words","need/need to",NA,NA,NA
"other","neigh",6.05,4.16,5.71
"other","neighbor",5.6,3.72,5.12
"adjectives","new",7.68,5.14,5.22
"function_words","next to",NA,NA,NA
"adjectives","nice",6.95,3.53,6.47
"other","night",6.68,3.57,5.22
"nouns","nightgown",5.85,3.35,5.67
"other","no",2.84,4.9,5.45
"other","no more",6.5,2.57,7.17
"function_words","no one",NA,NA,NA
"adjectives","noisy",3.21,5.15,4.42
"function_words","none",NA,NA,NA
"other","none",NA,NA,NA
"nouns","noodles",6.48,3.09,5.48
"nouns","nose",5.5,3.1,4.61
"function_words","not",NA,NA,NA
"other","not/none",NA,NA,NA
"function_words","nothing",NA,NA,NA
"other","now",NA,NA,NA
"other","nurse",5.41,4.64,5.58
"nouns","nuts",NA,NA,NA
"function_words","of",NA,NA,NA
"function_words","off",NA,NA,NA
"other","oh",NA,NA,NA
"other","oink",5.21,3.73,4.62
"other","ok",NA,NA,NA
"adjectives","old",3.19,4.48,4.22
"nouns","olive",6.05,3.92,5.18
"function_words","on",NA,NA,NA
"function_words","on top of",NA,NA,NA
"function_words","one",6.09,2.67,5.56
"other","one two three",5.89,2.3,5.17
"nouns","onion",5.37,4.95,4.78
"other","opa",NA,NA,NA
"verbs","open",6.14,4.43,6.17
"adjectives","open (description)",6.14,4.43,6.17
"verbs","opened",6.14,4.43,6.17
"function_words","or",NA,NA,NA
"function_words","or else",NA,NA,NA
"adjectives","orange (description)",6.81,4.04,5.58
"nouns","orange (food)",6.81,4.04,5.58
"function_words","other",5.41,3.48,6
"other","ouch",2.45,4.72,3.73
"function_words","our",NA,NA,NA
"function_words","ours",NA,NA,NA
"function_words","out",NA,NA,NA
"other","outing",6.09,5.52,6.16
"nouns","outside",6.91,3.94,6.2
"other","outside",6.91,3.94,6.2
"nouns","oven",6.16,2.95,6.04
"function_words","over",NA,NA,NA
"nouns","overalls",5.62,3.8,6.29
"nouns","owie",2.45,4.72,3.73
"other","owie",2.45,4.72,3.73
"nouns","owl",6.3,3.57,5.02
"nouns","pacifier",5.52,3.2,5.11
"adverbs","painfully",2.58,5.52,3.83
"nouns","paint",5.74,4.5,6.56
"verbs","paint",5.74,4.5,6.56
"nouns","pajamas",6.86,4.37,6.54
"nouns","palm",6.05,2.67,5.83
"nouns","pancake",7.71,4,5.53
"nouns","pants",5.62,3.8,6.29
"nouns","pap",4.71,3.52,4.11
"nouns","paper",5.42,3.52,5.64
"nouns","park",7,2.7,5.56
"other","park",7,2.7,5.56
"nouns","parrot",6.79,4.65,4.25
"nouns","party",7.18,6.08,5.92
"other","party",7.18,6.08,5.92
"verbs","pass",5.73,4.38,4.78
"nouns","pasta",7.08,3.97,5.98
"nouns","pastry",6.9,4.95,5.61
"other","pattycake",6.79,5.05,5.84
"nouns","peach",6.83,4.7,5.74
"nouns","peacock",6.75,3.83,5.88
"nouns","peanut",6.38,3.48,5.74
"nouns","peanut butter",NA,NA,NA
"nouns","pear",6.7,3.76,5.71
"nouns","peas",6.1,2.95,5.72
"verbs","pee",4.5,3.32,5.91
"other","peekaboo",6.28,3.84,5.24
"other","peep peep",4.42,4.3,4.96
"nouns","pen",5.63,2.75,6.17
"nouns","pencil",5.65,3.11,6.03
"nouns","penguin",6.65,4,4.86
"nouns","penis",5.3,5.9,6.21
"nouns","penny",6.29,5.55,5.4
"other","people",5.7,3.77,5.4
"nouns","pepper",5.63,4.3,5.75
"other","person",6.1,3.71,6
"other","pet's name",NA,NA,NA
"nouns","phone",6.09,3.43,4.44
"nouns","photos",6.58,4.6,6.05
"verbs","pick",5.91,3.62,5.94
"nouns","pickle",6.52,3.48,5.84
"other","picnic",7.11,3.65,6.1
"nouns","picture",6.73,3.29,6.12
"nouns","pig",4.83,3.68,5.04
"nouns","pigeon",5.58,2.95,5.04
"nouns","piglet",6.13,3.95,5.75
"nouns","pill",4.16,3.73,4.88
"nouns","pillow",7,2.9,6.34
"nouns","pine",6.58,3.25,4.95
"nouns","pipe",4.75,4.11,5.92
"nouns","pita",5.95,4,6.05
"nouns","pizza",7.89,4.58,5.47
"nouns","plant",7.05,3.94,6.45
"nouns","plate",4.8,3.18,5.79
"verbs","play",7.55,3.81,6.29
"nouns","play dough",NA,NA,NA
"nouns","play pen",5.95,2.65,4.5
"nouns","playground",7.14,4.67,6.32
"other","playground",7.14,4.67,6.32
"other","playgroup",NA,NA,NA
"other","please",6.57,2.95,7.4
"nouns","plum",6.15,2.76,5.26
"other","police",4.59,5.95,3.44
"other","policeman",4.21,4.06,5.76
"nouns","pony",6.71,4.29,5.9
"nouns","pool",6.78,3.65,6.39
"other","pool",6.78,3.65,6.39
"verbs","poop",2.6,5.14,4.48
"adjectives","poor",3.67,4.67,4
"nouns","popcorn",7.26,5.23,5.39
"nouns","popsicle",6.85,3.95,6.12
"nouns","porch",6.4,3.36,6.11
"nouns","porridge",5,3.33,4.52
"nouns","pot",5.81,4,6
"nouns","potato",6.4,2.38,5.46
"nouns","potato chip",NA,NA,NA
"nouns","potty",4.29,2.83,5.39
"verbs","pour",5.16,3.28,5.35
"nouns","present",6.85,4.82,6.65
"other","present",6.85,4.82,6.65
"verbs","press",5.39,2.8,4.78
"other","pretend",4.62,4.3,5.58
"verbs","pretend",4.62,4.3,5.58
"adjectives","pretty",7.7,5.5,6.7
"nouns","pretzel",6.81,5.7,5.69
"nouns","pudding",6.72,3.8,5.46
"nouns","puddle",4.3,4.33,4.73
"verbs","pull",5.59,4.1,6
"nouns","pumpkin",7,3.43,5.35
"nouns","puppy",7.85,5.84,6.24
"nouns","purse",5.95,3.21,5.68
"verbs","push",5.39,4.4,4.06
"verbs","put",5.09,3.86,5.94
"verbs","put in",NA,NA,NA
"verbs","put on",NA,NA,NA
"verbs","put out",NA,NA,NA
"nouns","puzzle",6.53,4.42,5.86
"other","quack quack",6.11,4,5.3
"nouns","quesadilla",7.18,4.94,5.57
"adjectives","quick",6.08,5.16,6.18
"adverbs","quickly",6.08,5.16,6.18
"adjectives","quiet",6.47,1.95,5.8
"adverbs","quietly",6.47,1.95,5.8
"nouns","radio",6,3.84,6.27
"nouns","rag",4.21,2.65,4.45
"nouns","rain",6.58,3.29,4.25
"nouns","raisin",6.05,3.65,5.73
"nouns","rake",4.75,4.22,5.24
"nouns","raspberry",7.3,3.71,6.33
"nouns","rattle",4.47,4.48,4.81
"verbs","read",6.73,3.7,6.11
"adjectives","real",7.09,4.05,5.89
"adjectives","red",5.67,5.02,5.2
"nouns","refrigerator",5.76,3.25,5.82
"verbs","remember",6.5,3.14,6.31
"nouns","remote control",5.42,3.5,5.54
"nouns","rice",5.7,3,5.5
"verbs","ride",6.27,5.1,5.28
"other","ring ring",7.09,4.43,5.44
"verbs","rip",3.28,5.26,4.12
"other","river",6.72,4.22,4.89
"nouns","road",5.59,3.81,6
"nouns","rock",5.72,3.14,5.26
"verbs","rock (action)",NA,NA,NA
"nouns","rocking chair",5.89,2.86,5.28
"nouns","roof",4.48,3.4,7.05
"nouns","room",5.55,3.1,5.71
"nouns","rooster",5.53,4.57,5.09
"nouns","rope",5.05,4.58,5.62
"other","row row your boat",5.4,2.56,6.05
"verbs","run",6.41,5.24,5.44
"other","sabbath",6.06,3.37,4.78
"adjectives","sad",2.1,3.49,3.84
"nouns","salt",6.05,4.53,6.04
"adjectives","salty",5.1,3.94,5.14
"adjectives","same",5.86,3.43,5.8
"function_words","same",NA,NA,NA
"nouns","sand",6.16,3.43,4.82
"nouns","sandals",5.78,2.4,5.44
"nouns","sandbox",5.75,3.4,6.1
"other","sandbox",5.75,3.4,6.1
"nouns","sandwich",7.18,4.94,5.57
"nouns","sauce",6.58,3.95,5.85
"nouns","sausage",6.32,4.8,6.27
"verbs","save",7.26,4.62,6.34
"verbs","say",5.91,4.43,6.88
"adjectives","scared",2.8,6.1,4.2
"verbs","scared",2.8,6.1,4.2
"nouns","scarf",6,2.39,6.39
"nouns","schnitzel",5.55,4.46,5.33
"nouns","school",5.41,4.57,5.88
"other","school",5.41,4.57,5.88
"nouns","scissors",5.03,4.02,6.89
"nouns","sea",6.56,2.8,5.22
"other","sea",6.56,2.8,5.22
"verbs","see",6.27,3.9,6
"verbs","seek",6.25,3.9,6.16
"function_words","self",6.86,4.78,7.74
"nouns","semolina",5.83,1.6,5.12
"verbs","shake",4.59,5.2,6.37
"other","shame",2.62,5.4,5.21
"nouns","shampoo",5.75,3.18,6.32
"verbs","share",6.22,3.2,6.44
"function_words","she",NA,NA,NA
"nouns","sheep",5.32,2.95,4.42
"other","shh",6.47,1.95,5.8
"nouns","ship",6.14,3.94,5.84
"nouns","shirt",5.56,2.3,5.67
"nouns","shoe",5.78,2.4,5.44
"other","shopping",NA,NA,NA
"adjectives","short",5.67,2.62,4.39
"nouns","shorts",5.95,4.23,6.57
"other","should",NA,NA,NA
"nouns","shoulder",5.1,2.96,4.81
"verbs","shout",5,6.29,5.85
"nouns","shovel",4.8,3.5,6.42
"verbs","show",5.91,4.1,5.83
"nouns","shower",7.19,4.15,7.47
"verbs","shut up",NA,NA,NA
"nouns","shutter",4.7,3.38,5.28
"other","sibling",7.27,5.16,4.81
"adjectives","sick",2.29,4.67,2.84
"nouns","sidewalk",5.67,3.65,6.19
"adjectives","similar",5.86,3.43,5.8
"other","sing",7.5,4.1,6.67
"verbs","sing",7.5,4.1,6.67
"nouns","sink",4.62,3.7,4.1
"other","sir",5.45,4.33,5.11
"other","sister",7,3.86,5.59
"other","sister's name",NA,NA,NA
"verbs","sit",5.82,3.19,6.06
"verbs","skate",6.74,4.48,4.84
"nouns","skirt",6.14,4.88,5.86
"nouns","sky",7.32,2.74,5.61
"nouns","sled",6.35,3.25,5.6
"other","sleep",7.22,3.6,5.3
"verbs","sleep",7.22,3.6,5.3
"adjectives","sleepy",4.36,3.04,4.56
"verbs","slide (action)",NA,NA,NA
"nouns","slide (object)",5.71,3.3,5.5
"other","slide (object)",NA,NA,NA
"nouns","slipper",5.8,3.83,5.93
"adjectives","slow",4,2.89,5.39
"adjectives","smart",7.73,3.81,6.81
"verbs","smear",3.84,4.04,4.89
"verbs","smell",6.39,5.24,5.44
"verbs","smile",7.89,4.62,7.72
"other","snack",6.53,4.11,5.88
"nouns","snake",4.03,7.24,3.65
"nouns","sneaker",5.85,3.45,6.31
"verbs","sneeze",4,4.81,3.2
"nouns","snow",6.78,4.57,5.62
"nouns","snowman",7,3.76,5
"nouns","snowsuit",5.29,3.1,6.68
"function_words","so",NA,NA,NA
"other","so big",NA,NA,NA
"nouns","soap",7.1,2.62,5.32
"nouns","sock",4.43,3.09,5.14
"nouns","soda",5.47,4.77,6.04
"nouns","sofa",6.26,2.9,5.84
"adjectives","soft",7.13,3.04,6.1
"adverbs","softly",NA,NA,NA
"function_words","some",NA,NA,NA
"other","some more",NA,NA,NA
"function_words","someone",NA,NA,NA
"other","somersault",6.37,4.73,6.32
"other","son",6.91,4.43,5
"nouns","song",7.59,4.6,6.95
"other","soon",NA,NA,NA
"nouns","soup",7.05,4.24,6.64
"adjectives","sour",3.95,4.95,4.34
"nouns","sour cream",NA,NA,NA
"adverbs","sourly",NA,NA,NA
"nouns","spade",5.48,3.74,4.88
"nouns","spaghetti",6.91,4.04,5.92
"nouns","sparrow",6.58,3.78,4.68
"nouns","spider",3.35,6.91,3.74
"verbs","spill",3.63,3.74,4.5
"nouns","spinach",5.81,3.43,5.46
"verbs","spit",3,3.57,4.36
"verbs","splash",6.53,4.8,5.96
"nouns","spoon",5.9,3.79,5.18
"nouns","sprinkler",5.86,3.29,6.38
"other","squeak",4.95,4.79,4.62
"nouns","squirrel",5.71,4.48,5.62
"other","sss",4.03,7.24,3.65
"nouns","stairs",5.48,3.59,5.57
"nouns","stallion",6.35,4.77,6.56
"verbs","stand",5.27,3.1,5.89
"nouns","star",7.47,5.5,5.82
"verbs","stay",6.14,3.14,5.71
"nouns","stick",5.27,3.81,5.82
"adjectives","sticky",4.65,4.75,5.19
"other","stomp stomp",3.9,4.82,6.44
"nouns","stone",4.81,3.25,7.26
"verbs","stop",4.73,4.14,5.06
"nouns","store",5.94,3.43,5.44
"other","store",5.94,3.43,5.44
"nouns","story",7.27,3.52,5.33
"nouns","stove",5.63,3.82,6.08
"nouns","strawberry",7.25,4.05,5.54
"nouns","street",5.07,3.45,5.41
"other","street",5.07,3.45,5.41
"verbs","strike",3.06,5.52,3.28
"nouns","stroller",5.75,3.22,5.68
"adjectives","strong",6.81,5.14,6.54
"adverbs","strongly",NA,NA,NA
"adjectives","stuck",NA,NA,NA
"nouns","sugar",6.56,5.29,6.32
"nouns","sun",6.92,4.64,4.98
"other","surprise",7.44,6.57,5.17
"verbs","swallow",5.57,3.78,5.72
"nouns","sweater",6.19,2.8,5.95
"verbs","sweep",5.27,3.89,5.76
"adjectives","sweet",7.77,4.14,6.12
"adverbs","sweetly",7.77,4.14,6.12
"verbs","swim",6.71,6.05,6.47
"nouns","swimsuit",6.05,5.8,5.08
"verbs","swing (action)",6.95,4.1,6.16
"nouns","swing (object)",6.95,4.1,6.16
"other","swing (object)",NA,NA,NA
"nouns","table",5.49,3,5.84
"nouns","tablecloth",5.33,2.81,6.28
"nouns","tahini",6.58,3.95,5.85
"verbs","take",4.82,4.52,4.83
"verbs","take away",4.82,4.52,4.83
"other","take in (arms)",6.05,4.86,5.67
"verbs","take off",4.21,3.11,4.56
"verbs","take out",4.21,3.11,4.56
"verbs","talk",6.64,3.38,6.44
"nouns","tangerine",6.81,3.9,6
"nouns","tank top",6.25,5.14,5.32
"nouns","tape",5.5,3.4,5.11
"verbs","taste",6.63,4.56,7.33
"adverbs","tastily",6.89,5.28,6.18
"adjectives","tasty",6.89,5.28,6.18
"nouns","tea",6.56,2.05,6
"other","teacher",7.37,2.9,5.95
"nouns","teapot",6,3.39,5.67
"verbs","tear",3.14,4.8,5.68
"nouns","teddybear",7.38,3.74,6.35
"nouns","telephone",5.71,4.3,6.74
"verbs","tell",5.27,3.86,4.94
"other","ten fingers",5.8,4.15,5.32
"other","thank you",7.73,4.05,6.72
"function_words","that",NA,NA,NA
"function_words","the",NA,NA,NA
"function_words","their",NA,NA,NA
"function_words","theirs",NA,NA,NA
"function_words","them",NA,NA,NA
"function_words","then",NA,NA,NA
"function_words","there",NA,NA,NA
"function_words","these",NA,NA,NA
"function_words","they",NA,NA,NA
"adjectives","thin",5.47,4.5,5.33
"verbs","think",6.68,3.75,6.5
"adjectives","thirsty",4.48,4.08,6.2
"function_words","this",NA,NA,NA
"other","this little piggy",NA,NA,NA
"function_words","those",NA,NA,NA
"function_words","three",5.43,3.38,5.45
"verbs","throw",5.55,4.52,6.12
"nouns","thumb",5.62,3.84,5.79
"other","thump",4.42,4,5.5
"other","tick tock",5.65,3.35,5.24
"other","tickle",6.14,5.86,5.28
"verbs","tickle",6.14,5.86,5.28
"nouns","tiger",6,5.55,4.4
"nouns","tights",5.95,3.45,4.56
"other","time",5.6,3.41,4.36
"adjectives","tiny",5.1,4.6,6.16
"verbs","tire",4.55,3.09,5.52
"adjectives","tired",4.29,3.67,5.06
"nouns","tissue",5.3,3.1,5.32
"function_words","to",NA,NA,NA
"function_words","to here",NA,NA,NA
"other","to slap",2.95,4.59,4.78
"function_words","to there",NA,NA,NA
"function_words","to you",NA,NA,NA
"nouns","toast",6.73,3.65,6.39
"other","today",NA,NA,NA
"nouns","toe",5.24,3.1,5.1
"adverbs","together",NA,NA,NA
"nouns","tomato",5.8,2.68,5.46
"other","tomorrow",NA,NA,NA
"nouns","tongue",6.29,4.25,6.32
"other","tonight",NA,NA,NA
"function_words","too",NA,NA,NA
"nouns","tooth",5.06,3.52,4.89
"nouns","toothbrush",5.58,3.38,6.21
"nouns","top",6,4.33,6.25
"nouns","tortilla",6.52,3.85,6.05
"adverbs","totally",NA,NA,NA
"verbs","touch",6.64,4.9,6.24
"nouns","towel",6.14,2.9,5.86
"nouns","tower",5.24,3.86,5.45
"adjectives","toy (description)",7.29,4.29,5.61
"nouns","toy (object)",7.29,4.29,5.61
"nouns","tracksuit",5.1,3.62,5.7
"nouns","tractor",5.05,3.73,5.75
"nouns","train",6.36,4.05,5.72
"nouns","tram",4.7,2.42,4.05
"nouns","trash",2.74,3.66,4.24
"verbs","travel",7.89,5.55,6.82
"nouns","tray",5.14,3.57,6.05
"nouns","tree",7.59,2.67,5.62
"nouns","tricycle",6.14,3.62,6.2
"nouns","truck",5.16,3.76,5.43
"function_words","try/try to",NA,NA,NA
"nouns","tummy",6.05,3.78,5.04
"nouns","tuna",5.26,4.14,5.7
"nouns","turkey",5.9,3.45,5.59
"verbs","turn",5.45,3.48,5.88
"other","turn around",NA,NA,NA
"verbs","turn around",5.45,3.48,5.88
"verbs","turn off",NA,NA,NA
"verbs","turn on",NA,NA,NA
"nouns","turtle",6.16,2.52,5.82
"nouns","tv",6.05,4.24,5.24
"other","tweet tweet",5.37,3.39,5.37
"function_words","two",6.3,3.33,5.05
"adjectives","ugly",2.47,4.43,3.86
"other","uh oh",2.55,4.93,3
"nouns","umbrella",5.84,3.5,5.75
"other","uncle",6.5,4.05,5.24
"function_words","under",NA,NA,NA
"nouns","underpants",5.18,5.08,5.75
"verbs","understand",6.68,3.52,6.71
"nouns","underwear",5.35,4.46,5.7
"function_words","up",NA,NA,NA
"other","up",NA,NA,NA
"function_words","up (stairs)",NA,NA,NA
"function_words","us",NA,NA,NA
"nouns","vacuum",5.38,4.63,6.52
"nouns","vagina",6,5.83,5.07
"nouns","vanilla",7.42,3.62,5.74
"nouns","vest",5.74,4.1,6.25
"other","village",5.95,3.4,5.6
"nouns","vitamins",NA,NA,NA
"nouns","voice recorder",5.53,3.32,6.27
"other","vroom",6.63,4.04,6.41
"nouns","wafer",7.32,4.7,6.1
"other","wait",4.55,3.62,5.31
"verbs","wait",4.55,3.62,5.31
"verbs","wake",6.57,3.8,5.71
"verbs","walk",6.77,3.24,5.83
"nouns","walker",NA,NA,NA
"nouns","wall",5.06,2.9,4.22
"nouns","wallet",6,4.25,6.08
"other","wanna",6,5.29,5.39
"verbs","wanna",6,5.29,5.39
"function_words","wanna/want to",NA,NA,NA
"nouns","wardrobe",6.09,5.16,6.24
"adjectives","warm",7.5,3.35,6.33
"adverbs","warmly",7.5,3.35,6.33
"function_words","was",NA,NA,NA
"verbs","wash",6,3.7,6.53
"nouns","washing machine",NA,NA,NA
"verbs","watch (action)",5.45,3.37,6.55
"nouns","watch (object)",5.45,3.37,6.55
"other","watch out",5.45,3.37,6.55
"nouns","water (beverage)",7,3.71,6.12
"nouns","water (not beverage)",7,3.71,6.12
"nouns","watermelon",6.75,4.64,6.48
"verbs","wave",6.32,4.19,5.48
"function_words","we",NA,NA,NA
"verbs","wear",6.36,3.33,5.72
"other","weee",NA,NA,NA
"adverbs","well",7.89,3.66,6.41
"nouns","well",NA,NA,NA
"function_words","were",NA,NA,NA
"adjectives","wet",5.64,5,6.11
"verbs","wet",5.64,5,6.11
"adverbs","wetly",5.64,5,6.11
"function_words","what",NA,NA,NA
"function_words","when (conjunction)",NA,NA,NA
"function_words","when (question)",NA,NA,NA
"function_words","where",NA,NA,NA
"function_words","where (conjunction)",NA,NA,NA
"function_words","where (question)",NA,NA,NA
"function_words","which (conjunction)",NA,NA,NA
"function_words","which (question)",NA,NA,NA
"adjectives","white",6.18,3.35,5.71
"function_words","who",NA,NA,NA
"other","who's there",NA,NA,NA
"function_words","whose",NA,NA,NA
"function_words","why",NA,NA,NA
"function_words","will",5.32,2.9,6.61
"nouns","wind",5.67,3.7,4.5
"nouns","window",6.47,3.27,5.39
"adjectives","windy",6,4.23,4.19
"verbs","wipe",4.58,3.54,5.43
"verbs","wish",7.14,3.38,6.5
"function_words","with",NA,NA,NA
"nouns","wolf",6.26,5.25,4.59
"other","woman",7.09,3.8,5.93
"other","woods",NA,NA,NA
"other","woof woof",6.76,5.15,5.22
"verbs","work (action)",5.05,4.33,6.12
"nouns","work (place)",5.05,4.33,6.12
"other","work (place)",5.05,4.33,6.12
"nouns","worm",4.86,3.5,5.22
"function_words","would",5.91,3.81,5.94
"verbs","write",6.45,3.81,5.28
"nouns","yard",5.7,3.68,5.84
"other","yard",5.7,3.68,5.84
"adjectives","yellow",6.09,3.83,6.35
"other","yes",7.17,3.62,6.94
"other","yesterday",NA,NA,NA
"nouns","yogurt",7,4.52,6
"nouns","yogurt drink",7,4.52,6
"function_words","you",NA,NA,NA
"function_words","you (plural)",NA,NA,NA
"function_words","your",NA,NA,NA
"function_words","yours",NA,NA,NA
"function_words","yourself",NA,NA,NA
"adjectives","yucky",3.36,4.35,4.36
"other","yucky",3.36,4.35,4.36
"other","yum yum",7.52,4.48,6.84
"nouns","zebra",6.47,3.9,5.26
"nouns","zipper",5.11,3.73,5.18
"nouns","zoo",7,5.63,6.33
"other","zoo",7,5.63,6.33
