"lexical_category","uni_lemma","Croatian WG","English WG","English WS","Hebrew WG","Italian WG","Norwegian WG","Russian WG","Russian WS","Spanish WG","Swedish WG","Turkish WG"
"nouns","airplane","avion","airplane","airplane","מטוס","aereo","fly","самолет","самолет","avion","flygplan","uçak"
"nouns","album","","","","","","","","альбом","","",""
"nouns","alligator","","","alligator","","","","","крокодил","","",""
"nouns","ambulance","","","","אמבולנס","","","","","","",""
"nouns","animal","životinja","animal","animal","חיה ","animale","dyr","","звери","animal","djur",""
"nouns","ankle","","","ankle","","","","","","","",""
"nouns","ant","","","ant","","formica","","","","hormiga","",""
"nouns","apple","jabuka","apple","apple","תפוח","mela","eple","яблоко","яблоко","manzana","äpple","elma"
"nouns","applesauce","","","applesauce","","","","","","","",""
"nouns","arm","ruka","arm","arm","","braccio","arm","рука","рука","brazos","arm",""
"nouns","armchair","fotelja","","","כורסה","","","кресло","кресло","","","koltuk"
"nouns","baby's bottle","","","","","biberon","","","","","",""
"nouns","back","","","","","","","","спина","","",""
"nouns","backyard","dvorište","","","","","","","","","",""
"nouns","bag","","","","תיק","","","","","","",""
"nouns","balcony","","","","","","","","балкон","","",""
"nouns","ball","lopta","ball","ball","כדור","palla","ball","мяч","мяч","pelota","boll","top"
"nouns","balloon","balon","balloon","balloon","בלון","","ballong","","шарик","globo","ballong","balon"
"nouns","banana","banana","banana","banana","בננה","banana","banan","банан","банан","platano","banan","muz"
"nouns","barn","","","","רפת","","","","","","",""
"nouns","basement","","","basement","","","","","","","",""
"nouns","basket","","","basket","","","","","корзина","","",""
"nouns","bat","","","bat","","","","","","","",""
"nouns","bathroom","kupaonica","bathroom","bathroom","שירותים","bagno","bad","туалет","туалет","bano","badrum","banyo"
"nouns","bathtub","kada","bathtub","bathtub","אמבטיה","vasca da bagno","badekar","ванна","ванна","tina","badkar",""
"nouns","battery","","","","","","","","","","","pil"
"nouns","beach","plaža","beach","","חול","","","","","playa","stranden",""
"nouns","beads","","beads","beads","חרוזים","","","","бусы","aretes","pärlor","boncuk"
"nouns","beans","","","beans","","","","","фасоль","frijole","",""
"nouns","bear","medo","bear","bear","","orso","bjørn","медведь","медведь","oso","björn","ayı"
"nouns","bed","krevet","bed","bed","מיטה","letto","seng","кровать","кровать","cama","säng","yatak"
"nouns","bedroom","","bedroom","bedroom","חדר שינה","","soverom","","","recamar","sovrum",""
"nouns","bee","pčela","bee","bee","דבורה","","veps","","","abeja","bi","arı"
"nouns","beet","","","","","","","","свекла","","",""
"nouns","bell","zvono","","","","","","","","","","zil"
"nouns","belly button","pupak","belly button","belly button","פופיק","","navle","пупок","пупок","ombligo","navel",""
"nouns","bellybutton","","","","","ombelico","","","","","",""
"nouns","belt","","","belt","","","","","","","",""
"nouns","bench","","","bench","","","","","скамейка","","",""
"nouns","berry","","","","","","","ягода","ягода","","",""
"nouns","bib","","bib","bib","סינור","bavaglino","smekke","нагрудник","","babera","","önlük"
"nouns","bicycle","bicikl","bicycle","bicycle","אופניים","bicicletta","sykkel","велосипед","велосипед","bicicle","cykel","bisiklet"
"nouns","bidet","","","","","bidè","","","","","",""
"nouns","birch","","","","","","","","береза","","",""
"nouns","bird","ptica","bird","bird","ציפור","uccellino","fugl","птичка","птичка","pajaro","fågel","kuş"
"nouns","biscuit","","","","","","","","","","skorpa",""
"nouns","blanket","deka","blanket","blanket","שמיכה","coperta","dyne, teppe","одеяло","одеяло","cobija","filt","battaniye"
"nouns","block","kocka","block","block","קוביה","cubi","klosser","кубики","кубики","","kloss",""
"nouns","blueberry","","","","","","","","черника","","",""
"nouns","boat","","","boat","","barca","","","","","",""
"nouns","book","knjiga","book","book","ספר","libro","bok","книга","книга","libro","bok","kitap"
"nouns","book/story","","","","","favola/storia","","","","","",""
"nouns","boots","čizme","boots","boots","מגפיים","","støvler","ботинки, сапоги","ботинки, валенки, сапоги","botas","kängor, stövel",""
"nouns","bottle","boca","bottle","bottle","בקבוק","bottiglia","flaske","бутылочка","бутылочка","botlmam","flaska","şişe"
"nouns","bowl","zdjelica","bowl","bowl","קערה","","skål","","","","skål",""
"nouns","box","kutija","box","box","קופסה","scatola","eske","коробка","коробка","caja","","kutu"
"nouns","bread","kruh","bread","bread","לחם","pane","brød","хлеб","хлеб","pan","bröd","ekmek"
"nouns","breast","","","","ציצי","seno","","","","chichi","","meme"
"nouns","bridge","","","","","","","","","","","köprü"
"nouns","broom","metla","broom","broom","מטאטא","scopa","kost","веник","веник","escoba","borste",""
"nouns","brush","četka","brush","brush","מברשת","","børste","","кисточка","cepidnt","",""
"nouns","bubbles","","bubbles","bubbles","בועות","","såpebobler","","","","såpbubblor",""
"nouns","bucket","","","bucket","","secchiello","","ведро","ведро","","","kova"
"nouns","bug","buba","bug","bug","ג'וק","","","жук","жук","","skalbagge","böcek"
"nouns","bun","","","","לחמניה","","","булка","булка","","",""
"nouns","bunny","zeko","bunny","bunny","שפן","coniglio","kanin","заяц","заяц","conejo","kanin","tavşan"
"nouns","bus","autobus","bus","bus","אוטובוס","autobus","buss","автобус","автобус","","buss","otobüs"
"nouns","bus station","","","","תחנת אוטובוס","","","","","","",""
"nouns","bush","","","","","","","","куст","","",""
"nouns","butt","guza","","","","","","","","","stjärt","popo"
"nouns","butter","","butter","butter","מרגרינה","","smør","масло","масло","","smör",""
"nouns","butterfly","leptir","butterfly","butterfly","פרפר","farfalla","sommerfugl","бабочка","бабочка","maripos","","kelebek"
"nouns","buttocks","","","","","sederino","","","","","",""
"nouns","buttocks/bottom*","","","buttocks/bottom*","","","","","","","",""
"nouns","button","gumb","button","button","כפתור","bottone","knapp","пуговица","пуговица","boton","knapp",""
"nouns","cabbage","","","","","","","капуста","капуста","","",""
"nouns","cacao","kakao","","","","","","","","","",""
"nouns","cake","kolač","cake","cake","עוגה","torta","kake","","пирог, торт","pastel","","kek, pasta"
"nouns","calf","tele","","","","","","","","","",""
"nouns","camera","","","camera","","","","фотоаппарат","фотоаппарат","","",""
"nouns","can (object)","","","can (object)","","","","","","","",""
"nouns","candle","","","","","","","","","vela","ljus",""
"nouns","candy","bombon","candy","candy","ממתק","caramella","sukkertøy","конфета","конфета","dulce","godis","şeker"
"nouns","cap","","","","","tappo","","","","","",""
"nouns","car","auto","car","car","אוטו","automobile","bil","машина","машина","carro","bil","araba"
"nouns","carpet","","","","שטיח","tappeto","","ковер","ковер","","",""
"nouns","carrots","mrkva","carrots","carrots","גזר","carote","gulrot","морковка","морковка","","morot","havuç"
"nouns","cat","mačka","cat","cat","חתול","gatto","katt","кошка","кошка","gato","katt","kedi"
"nouns","cereal","kašica","cereal","cereal","דייסה","","frokostblanding","каша","каша","cereal","flingor",""
"nouns","chair","stolica","chair","chair","כיסא","sedia","stol","стул","стул","silla","stol","sandalye/iskemle"
"nouns","chalk","","","chalk","","","","","","","",""
"nouns","cheek","obrazi","cheek","cheek","לחי","","kinn","щека","щека","cachete","kind","yanak"
"nouns","cheerios","čokolino","cheerios","cheerios","במבה","","corn flakes","","","","",""
"nouns","cheese","sir","cheese","cheese","גבינה","formaggio","ost","сыр","сыр","queso","ost","peynir"
"nouns","chick","","","","אפרוח","pulcino","","","цыпленок","pollito","",""
"nouns","chicken","","","","","pollo","","","","","",""
"nouns","chicken (animal)","pile","chicken (animal)","chicken (animal)","","","kylling","курочка","курица","","kyckling","tavuk"
"nouns","chicken (food)","piletina","chicken (food)","chicken (food)","עוף","","kylling","","курица","pollo","kyckling",""
"nouns","chilli","","","","","","","","","chile","",""
"nouns","chin","","","chin","","","","","","","haka",""
"nouns","chips","","","","","","","","чипсы","","",""
"nouns","chocolate","čokolada","","chocolate","שוקו","cioccolata","","","шоколад","","","çikolata"
"nouns","church","crkva","church*","","בית כנסת","","","церковь","","iglstmp","kyrkan",""
"nouns","cigarette","","","","","","","","","cigarrs","",""
"nouns","clementine","","","","קלמנטינה","","","","","","",""
"nouns","clock","","clock","clock","שעון","orologio","klokke","","","","klocka","saat"
"nouns","closet","","","closet","","armadio","","","шкаф","ropero","",""
"nouns","cloth","","","","","","","","","trapo","",""
"nouns","clothes","","","","","","","","одежда","","",""
"nouns","cloud","","","cloud","","","","","облако","nube","",""
"nouns","clouds","","","","","nuvole","","","","","",""
"nouns","clown","","","","ליצן","","","","","","",""
"nouns","coat","kaput","coat","coat","מעיל","cappotto","regntøy","куртка","куртка, пальто","","","palto"
"nouns","coffee","čaj","coffee","coffee","קפה","","kaffe","","кофе","cafe","kaffe","çay"
"nouns","coke","","","coke","","","","","","","",""
"nouns","comb","","","","","pettine","","","","","",""
"nouns","comb (object)","češalj","comb","comb","מסרק","","kam","расческа","расческа","peine","kam","tarak"
"nouns","compote","","","","","","","компот","компот","","",""
"nouns","computer","","","","","","","","компьютер","","","bilgisayar"
"nouns","cookie","keks","cookie","cookie","","biscotti","bolle","печенье","печенье, пряник","galleta","kaka","kurabiye"
"nouns","corn","","","corn","","","","","кукуруза","","",""
"nouns","corridor","","","","","","","коридор","коридор","","",""
"nouns","cottage cheese","","","","","","","творог","творог","","",""
"nouns","couch","kauč","couch","couch","","divano","sofa","диван","диван","sofa","soffa",""
"nouns","country","","","","","campagna","","","","","",""
"nouns","cover","","","","","coperchio","","","","","",""
"nouns","cow","krava","cow","cow","פרה","mucca","ku","корова","корова","vaca","ko","inek"
"nouns","cracker","","cracker","cracker","קרקר","cracker","kjeks","","","","kex","bisküvi"
"nouns","cradle","kolijevka","","","","","","","","","",""
"nouns","crayon","","","crayon","","","","","","","","boya"
"nouns","crib","krevetić","crib","crib","לול","culla","","","","cuna","","beşik"
"nouns","crocodile","","","","","coccodrillo","","","","","",""
"nouns","crow","","","","","","","ворона","ворона","","",""
"nouns","cucumber","","","","מלפפון","","","огурец","огурец","","",""
"nouns","cup","šalica","cup","cup","כוס","tazza","kopp","кружка, чашка","кружка, чашка","taza","kopp",""
"nouns","cupboard","","","","","","","","","","","dolap"
"nouns","curtain","","","","וילון","","","","","","",""
"nouns","cutlet","","","","","","","","котлета","","",""
"nouns","deer","lane","deer","deer","אייל","","reinsdyr","","","venado","",""
"nouns","diaper","pelena","diaper","diaper","טיטול","pannolino","bleie","памперс","","panal","blöja","bez (çocuk bezi)"
"nouns","dish","","dish","dish","","piatto","","","посуда","","fat",""
"nouns","dog","pas","dog","dog","כלב","cane","hund","собака","собака","perro","hund","köpek"
"nouns","doll","lutka","doll","doll","בובה","bambola","dukke","кукла","кукла","muneca","docka","bebek"
"nouns","donkey","magarac","donkey","donkey","חמור","asino","","","ослик","burro","åsna","eşek"
"nouns","donut","","","donut","","","","","","","",""
"nouns","door","vrata","door","door","דלת","porta","dør","дверь","дверь","puerta","dörr","kapı"
"nouns","drawer","ladica","drawer","drawer","מגירה","cassetto","skuff","","","cajon","låda, låda","çekmece"
"nouns","dress","haljina","dress","","שמלה","vestito","kjole","","платье","vestido","","elbise"
"nouns","dress  (object)","","","dress","","","","","","","",""
"nouns","dress (object)","","","","","","","платье","","","",""
"nouns","drink (beverage)","","drink (beverage)","drink (beverage)","","","drikke","","","","",""
"nouns","drum","","","","","","","","","tambor","",""
"nouns","dryer","","","dryer","","","","","","","",""
"nouns","duck","patka","duck","duck","ברווז","papera","and","утка","утка","pato","anka","ördek"
"nouns","dust","","","","","","","","","","","toz"
"nouns","dustpan","","","","","","","совок (для мусора)","совок (для мусора)","","",""
"nouns","ear","uho","ear","ear","אוזן","orecchio","øre","ушки","ушки","orejas","öra","kulak"
"nouns","earth","","","","","terra","","","","","",""
"nouns","egg","jaje","egg","egg","חביתה","uovo","egg","яйцо","яйцо","huevo","ägg","yumurta"
"nouns","elephant","slon","elephant","elephant","פיל ","elefante","elefant","слон","слон","elefant","elefant",""
"nouns","elevator","","","","","ascensore","","лифт","лифт","","",""
"nouns","elk","","","","","","elg","","","","",""
"nouns","eye","oko","eye","eye","עיין","occhio","øye","глазки","глазки","ojos","öga","göz"
"nouns","eyebrows","","","","","","","","брови","","",""
"nouns","eyelashes","","","","","","","","ресницы","","",""
"nouns","face","lice","face","face","פנים","faccia","ansikt","лицо","лицо","cara","ansikte",""
"nouns","faucet","","","","ברז","","","кран","кран","","",""
"nouns","fawn","","","","","cerbiatto","","","","","",""
"nouns","feet","","","","","piede","","","","","",""
"nouns","field","livada","","","","","","","","campo","landet",""
"nouns","finger","palac","finger","finger","אצבעות","dito","finger","палец","палец","dedos","finger","parmak"
"nouns","fir","","","","","","","елка","елка","","",""
"nouns","fire","","","","","","","","","","","ateş"
"nouns","fireplace","","","","","","","","","","öppen spis",""
"nouns","firetruck","","firetruck","firetruck","","","brannbil","","пожарная машина","camibom","brandbil",""
"nouns","firewood","","","","","","","","дрова","","",""
"nouns","fish","","","","","pesciolino","","","","","",""
"nouns","fish (animal)","riba","fish (animal)","fish (animal)","דג","","fisk","рыбка","рыбка","pescado","fisk","balık"
"nouns","fish (food)","riba","fish (food)","fish (food)","דג","","fisk","рыба","рыба","","fisk","balık"
"nouns","flag","","","flag","","","","","","","",""
"nouns","floor","","","","","","","пол","пол","","",""
"nouns","flower","cvijeće","flower","flower","פרח","fiore","blomst","цветы","цветы","flor","blomma","çiçek"
"nouns","flowerpot","","","","עציץ","","","","","","",""
"nouns","fly","","","","זבוב","mosca","flue","муха","муха","mosca","",""
"nouns","food","hrana","food","food","אוכל","","mat","","еда","comida","mat","yemek"
"nouns","foot","","foot","foot","","","fot","","","pies","fot","ayak"
"nouns","forehead","čelo","","","מצח","","","","лоб","","",""
"nouns","fork","vilica","fork","fork","מזלג","forchetta","gaffel","вилка","вилка","tenedor","gaffel","çatal"
"nouns","fox","lisica","","","","","rev","лиса","лиса","","",""
"nouns","french fries","","","french fries","","","","","","","",""
"nouns","frog","žaba","frog","frog","צפרדע","rana","frosk","лягушка","лягушка","rana","groda","kurbağa"
"nouns","frost","","","","","","","мороз","мороз","","",""
"nouns","fruit","","","","","","","","фрукт","","","meyve"
"nouns","furniture","","","","","","","","мебель","","",""
"nouns","game","","","game","","","","","","","",""
"nouns","garage","garaža","garage","garage","חניה","garage","garasje","","","cochera","garage",""
"nouns","garbage","","","garbage","","","","","","","",""
"nouns","garden","vrt","garden","garden","גן","giardino","","","","jardin","trädgård","bahçe"
"nouns","giraffe","","giraffe","giraffe","ג'ירפה","giraffa","sjiraff","жираф","жираф","jirafa","giraff",""
"nouns","glass","čaša","glass","glass","","bicchiere","glass","","стакан","vaso","glas",""
"nouns","glasses","naočale","glasses","glasses","משקפיים","occhiali","briller","","","lentes","glasögon","gözlük, bardak"
"nouns","gloves","","","gloves","","guanti","","","перчатки","","",""
"nouns","glue","","","glue","","","","","клей","","",""
"nouns","goat","koza","","","","capra","","коза","коза","cabra","",""
"nouns","goose","guska","goose","goose","","oca","gås","гусь","гусь","","gås",""
"nouns","grapes","","","grapes","","uva","","","виноград","uvas","",""
"nouns","grass","","","grass","","","","трава","трава","","",""
"nouns","green beans","","","green beans","","","","","","","",""
"nouns","greenhouse","","","","","","","","парник","","",""
"nouns","ground","","","","אדמה","","","","","","","toprak"
"nouns","gum","","","gum","","","","","","","",""
"nouns","hair","kosa","hair","hair","שערות","capelli","hår","волосы","волосы","pelo","hår","saç"
"nouns","ham","","","","","","","","","jamon","",""
"nouns","hamburger","","","hamburger","","","","","","","",""
"nouns","hammer","čekić","hammer","hammer","פטיש","martello","hammer","молоток","молоток","martill","hammare",""
"nouns","hand","","hand","hand","ידיים","mano","hånd","","","manos1","hand","el"
"nouns","handkerchief","","","","","","","платок (носовой)","платок","","",""
"nouns","hat","kapa","hat","hat","כובע","cappello","lue","шапка","шапка","sombrer","mössa","şapka"
"nouns","head","glava","head","head","ראש","testa","hode","голова","голова","cabeza","huvud","baş/kafa"
"nouns","hedgehog","","","","קיפוד ","","","ёж","ёж","","",""
"nouns","helicopter","","","helicopter","","","","","вертолет","","",""
"nouns","hen","koka","","hen","","gallina","","","","gallina","",""
"nouns","high chair","","high chair","high chair","","","barnestol","","","","barnstol",""
"nouns","highchair","","","","","seggiolone","","","","","",""
"nouns","hippopotamus","","","","","ippopotamo","","","бегемот","hippotm","",""
"nouns","home","dom","home","","","","","","","","hemma",""
"nouns","honey","","","","דבש","miele","","","мед","","","bal"
"nouns","horse","konj","horse","horse","סוס","cavallo","hest","лошадь/конь","лошадь","caballo","häst","at"
"nouns","hose","","","hose","","","","","","","",""
"nouns","hot dog","","","","נקניק","","","сосиска","сосиска","salchch","",""
"nouns","house","kuća","house","","בית, מעון","","","дом","","casa","hus",""
"nouns","house/home","","","","","casa","","","","","",""
"nouns","ice","","","ice","","","","","лед","","",""
"nouns","ice cream","sladoled","ice cream","ice cream","ארטיק","","is","","мороженое","helado","glass","dondurma"
"nouns","icecream","","","","","gelato","","","","","",""
"nouns","icicle","","","","","","","","сосулька","","",""
"nouns","iron","","","","","","","","утюг","","",""
"nouns","jacket","jakna","jacket","jacket","","giacca","jakke","","","","jacka","ceket"
"nouns","jam","","","","ריבה","","","","варенье","","","reçel"
"nouns","jar","","","jar","","","","банка","банка","","",""
"nouns","jeans","","jeans","jeans","ג'ינס","","","","","","jeans",""
"nouns","jeep","","","","ג'יפ","","","","","","",""
"nouns","jello","","","jello","","","","","","","",""
"nouns","jelly","","","jelly","","","","","","","",""
"nouns","juice","sok","juice","juice","מיץ","","juice","сок","сок","jugo","juice",""
"nouns","kangaroo","","","","","","","кенгуру","","","",""
"nouns","kefir","","","","","","","кефир","кефир","","",""
"nouns","keys","ključevi","keys","keys","מפתחות","chiave","nøkler","ключи","ключи","llaves","nycklar","anahtar"
"nouns","kid (goat)","jare","","","","","","","","","",""
"nouns","kindergarten","","","","","asilo","","","","","dagis",""
"nouns","kitchen","kuhinja","kitchen","kitchen","מטבח","cucina","kjøkken","кухня","кухня","cocina","kök","mutfak"
"nouns","kitty","","kitty","kitty","","","kattunge","","","","kisse",""
"nouns","kiwi","","","","","","","","киви","","",""
"nouns","knee","koljeno","knee","knee","ברך","","kne","","колено","rodilla","knä","diz"
"nouns","knife","nož","","knife","","coltello","kniv","нож","нож","cuchill","kniv",""
"nouns","ladder","","","ladder","","","","лестница","лестница","","",""
"nouns","ladybug","","","","חיפושית","","","","","","",""
"nouns","lamb","","lamb","lamb","טלה ","agnello","lam","","","borrego","lamm","kuzu"
"nouns","lamp","svjetiljka","lamp","lamp","מנורה","","lampe","лампа","лампа","","lampa","lamba/işık"
"nouns","lawn","","","","","prato","","","","","",""
"nouns","lawn mower","","","lawn mower","","","","","","","",""
"nouns","leaf","","","","","","","","","","","yaprak"
"nouns","leg","noga","leg","leg","רגליים","gambe","bein","нога","нога","piernas","ben","bacak"
"nouns","lemon","","","","","","","","","","","limon"
"nouns","light","svjetlo","light","light","אור","luce","lys","свет","свет","luz","",""
"nouns","lion","lav","lion","lion","אריה","leone","løve","лев","лев","leon","lejon",""
"nouns","lips","","","lips","","","","","губы","","",""
"nouns","living room","dnevna soba","living room","living room","סלון","","stue","","","sala","vardagsrum",""
