"lexical_category","uni_lemma","Croatian WG","English WG","Hebrew WG","Italian WG","Norwegian WG","Russian WG","Spanish WG","Swedish WG","Turkish WG"
"predicates","all gone","gotovo","all gone","","","borte","","","borta",""
"predicates","angry","","","","arrabbiato","","","enojado","",""
"predicates","asleep","spava","asleep","","","","","sueno","sover",""
"predicates","bad","zločest(o)","bad","רע","cattivo","frekk","плохой","malo","dålig",""
"predicates","badly","","","","","","плохо","","",""
"predicates","bathe","","","","","","","","","yıkan"
"predicates","beautiful","","","","","skjønn","","","",""
"predicates","beautifully","","","","","","красиво","","",""
"predicates","begin","","","","","","","","","başla, ol"
"predicates","big","velik(o)","big","גדול","grande/grosso","stor","большой","grande","stor","büyük, kocaman"
"predicates","bite","gristi","bite","לנשוך","mordere","bite","кусать/кусаться","morder","bita","isır"
"predicates","bitter","","","","","","","","","acı (lezzet)"
"predicates","black","","","","nero","","черный","","",""
"predicates","bless","","","לברך","","","","","",""
"predicates","blow","puhati","blow","לנשוף","soffiare","blåse","дуть","soplar","blåsa",""
"predicates","blue","plava","blue","","","blå","синий","azul","blå",""
"predicates","break","razbiti","break","לשבור","rompere","ødelegge","","romper","bryta","kır"
"predicates","bring","donijeti","bring","להביא","","","принести","","","getir"
"predicates","broken","","broken","מקולקל, שבור","rotto","ødelagt","","roto","trasig",""
"predicates","bump","","bump","","","","","","",""
"predicates","buy","kupiti","","","","","","","",""
"predicates","can","","","","","","","poder","",""
"predicates","careful","","careful","זהיר","attento","forsiktig","","cuidado","försiktig",""
"predicates","carefully","","","","","","осторожно","","",""
"predicates","carry","","","","","","","","","taşı"
"predicates","catch","","","","","","","","","yakala"
"predicates","clap","","","","","","хлопать","","",""
"predicates","clean","","","","pulire, pulito","","","","",""
"predicates","clean (action)","čistiti","clean (action)","לנקות","","rydde","","","städa",""
"predicates","clean (description)","čist(o)","clean (description)","נקי","","ren","чистый","limpio","ren","temiz"
"predicates","cleanly","","","","","","чисто","","",""
"predicates","climb","","","","","","залезть","subir","","çık"
"predicates","close","zatvoriti","close","לסגור","chiudere","lukke","закрыть","cerrar","stänga","kapat"
"predicates","closed (description)","","","","","","","","","kapalı"
"predicates","cold","hladno, zima","cold","קר","freddo","kald","холодный","frio","kall","soğuk"
"predicates","coldly","","","","","","холодно","","",""
"predicates","collect","","","","","","собирать","","",""
"predicates","comb (action)","","","לסרק","pettinare","","","peinars","","tara"
"predicates","come","","","","venire","","","","","gel"
"predicates","cough","","","","","","","","","öksür"
"predicates","count","","","","","","","","","say"
"predicates","cover","","","","","","","","","ört"
"predicates","cry","plakati","cry","לבכות","piangere","gråte","плакать","llorar","gråta","ağla"
"predicates","cute","","cute","חמוד","carino","søt","","guapo","","cici"
"predicates","dance","plesati","dance","לרקוד","ballare","danse","танцевать","bailar","dansa",""
"predicates","dark","mrak","dark","","buio","mørkt","","oscuro","mörk","karanlık"
"predicates","darkly","","","","","","темно","","",""
"predicates","descend","","","לרדת","","","","","",""
"predicates","die","","","","","","","","","öl"
"predicates","different","","","","","","","difernt","",""
"predicates","dig","","","","","","копать","","",""
"predicates","dirtily","","","","","","грязно","","",""
"predicates","dirty","prljav(o)","dirty","מלוכלך","sporco","skitten","грязный","sucio","smutsig","kirli, pis"
"predicates","do","","","","","","","","","yap"
"predicates","draw","crtati","draw","לצייר","","tegne","","dibujar","rita","çiz"
"predicates","dress","","","","","","","","","gıdıkla"
"predicates","dress (action)","","","","","","одеть","","",""
"predicates","drink","","","","bere","","","","",""
"predicates","drink (action)","piti","drink (action)","לשתות","","drikke","пить","","","iç"
"predicates","drink (beverage)","","","","","","","","dricka",""
"predicates","drive","voziti","drive","לנהוג, לרכב","","kjøre","ездить/ехать","","köra",""
"predicates","drop","","","","","","","","","bırak"
"predicates","dry","","","","asciutto","","","","",""
"predicates","dry (action)","","","","","tørke","","secarse","",""
"predicates","dry (description)","suh(o)","dry (description)","יבש","","tørr","","","torr",""
"predicates","dump","","","","buttare","","","","",""
"predicates","easy","","","","","grei","","","",""
"predicates","eat","jesti","eat","לאכול","mangiare","spise","есть, кушать","comer","äta","ye"
"predicates","eat breakfast","","","","","","","desyuna","",""
"predicates","eat dinner","","","","","","","cenar","",""
"predicates","empty","prazno","empty","ריק","vuoto","tom","","vacio","tom","boş"
"predicates","enter","","","","","","","","","git"
"predicates","fall","pasti","fall","ליפול","cadere","falle","падать","caer","falla","düş"
"predicates","fast","brz(o)","fast","מהר","","fort","","","fort",""
"predicates","fat","","","שמן","","","","","",""
"predicates","feed","","feed","להאכיל","","mate","кормить","","mata","yedir"
"predicates","fight","tući","","","","","","","",""
"predicates","find","","","","","","","","","bul"
"predicates","fine","divno, fin(o)","fine","","","fin","","","fin",""
"predicates","finish","","finish","לגמור","finire","gjøre seg ferdig","","acabars","","bit"
"predicates","finished","","","","finito","","","","",""
"predicates","flee","bježati","","","","","","","",""
"predicates","flip","","","להחליף","","","","","",""
"predicates","fly","","","","volare","","","","",""
"predicates","fly (action)","","","","","","","","","uç"
"predicates","full","","","","pieno","","","lleno","",""
"predicates","funny","","","","","","","","","komik"
"predicates","gentle","nježno","gentle","","","","","","",""
"predicates","get","dobiti","get","","","få, hente","","","hämta",""
"predicates","get off","","","","","","","","","in"
"predicates","get up","","","","","","вставать","","",""
"predicates","give","dati","give","לתת","dare","gi","дать","dar","ge","ver"
"predicates","go","ići","go","ללכת","andare","dra","идти","ir","åka","giy"
"predicates","go out","","","","uscire","","","","",""
"predicates","good","dobro","good","טוב","buono","bra","хороший","","god","iyi"
"predicates","green","","","","","","зеленый","verde","",""
"predicates","greet","","","","salutare","","","","",""
"predicates","happy","sretan","happy","שמח","contento, felice","glad","","content","glad",""
"predicates","hard","teško","hard","קשה","duro","hard","","dificil","hård, svår",""
"predicates","have","","","","","","","tener","",""
"predicates","hear","","","","sentire","","слушать/слышать","","",""
"predicates","heavily","","","","","","тяжело","","",""
"predicates","heavy","","","","pesante","","тяжелый","pesado","",""
"predicates","help","pomoći","help","לעזור","","hjelpe","","ayudar","hjälpa",""
"predicates","hide","","","להחביא","","","прятать/прятаться","","","sakla"
"predicates","high","","","","alto","","","","",""
"predicates","hit","udariti se","hit","להכות","","slå","","pegar","slå","vur"
"predicates","hold","","","","","","","","","tut"
"predicates","hot","vruće","hot","חם","caldo","varm","горячий","calient","varmt","sıcak"
"predicates","hotly","","","","","","горячо","","",""
"predicates","hug","zagrliti","hug","לחבק","abbracciare","klemme","обнять","","krama","sarıl"
"predicates","hungry","gladan","hungry","רעב","","sulten","голодный","hambre","hungrig","acık"
"predicates","hurry","žuriti","hurry","למהר","","forte seg","","apurar","skynda",""
"predicates","hurt","boli","hurt","","","vondt","","doler","skada","acı (canı)"
"predicates","jump","skočiti","jump","לקפוץ","saltare","hoppe","прыгать","brincar","hoppa","atla"
"predicates","kick","šutnuti","kick","לבעוט","","sparke","","","sparka","döv"
"predicates","kiss","poljubiti","kiss","לנשק","baciare","kysse","целовать","","pussa","öp"
"predicates","laugh","","","","","","","","","gül"
"predicates","leave","","","לצאת","","","","","",""
"predicates","lick","","","","leccare","","","","",""
"predicates","lie","","","","","","лежать","","","yat"
"predicates","lift","","","","","","","","","kaldır"
"predicates","light (action)","","","להדליק","","","","","",""
"predicates","little","","","","piccolo","","","","",""
"predicates","little (description)","mal(o)","little (description)","נמוך, קטן, קצר","","liten","маленький","chico, poco","lite","küçük"
"predicates","lock","","","לנעול","","","","","",""
"predicates","look","gledati","look","להסתכל","","se på","смотреть","mirar","titta","bak"
"predicates","look for","","","לחפש","","","искать","","","ara"
"predicates","loud","","","","forte","","громкий","","",""
"predicates","loudly","","","","","","громко","","",""
"predicates","love","voljeti","love","לאהוב","","elske","любить","","","sev"
"predicates","lower","","","להוריד","","","","","",""
"predicates","make","","","","fare","","делать","","",""
"predicates","many","","","","","","","","","çok"
"predicates","naked","","","","","","голый","","",""
"predicates","naughty","","naughty","שובב","disubbidiente","slem","","","stygg","yaramaz"
"predicates","new","","","","nuovo","","","nuevo","","yeni"
"predicates","nice","krasno","nice","נחמד","bello","","","","trevlig",""
"predicates","old","star(o)","old","זקן, ישן","","gammel","","viejo","gammal",""
"predicates","open","otvoriti","open","לפתוח","aprire","åpne","открыть","abrir","öppna","aç"
"predicates","open (description)","","","","","","","","","açık"
"predicates","opened","","","","","","","","","açıl"
"predicates","orange (description)","","","","","","оранжевый","","",""
"predicates","painfully","","","","","","больно","","",""
"predicates","paint","","","","","","","pintar","","boya"
"predicates","pass","","","","","","","","","geç"
"predicates","pee","","","","","","пúсать","","",""
"predicates","play","igrati se","play","לשחק, לשחק","giocare","leke","играть","jugar","leka","oyna"
"predicates","poop","","","","","","какать","","",""
"predicates","press","","","","","","","","","bas"
"predicates","pretty","lijep(o)","pretty","יפה","","pen","красивый","bonita","","güzel"
"predicates","pull","vući","pull","למשוך","tirare","","","","dra","çek"
"predicates","push","gurati","push","לדחוף","spingere","dytte","","empujar","knuffa","it"
"predicates","put","staviti","put","לשים","mettere","legge","класть, положить","meterse, poner","sätta","koy"
"predicates","put in","","","","","","","","","sok"
"predicates","put on","","","","","","","","","tak"
"predicates","put out","","","","spegnere","","","","",""
"predicates","quick","","","","","","","","snabb",""
"predicates","quickly","","","","","","быстро","","",""
"predicates","quietly","","","","","","тихо/тише","","",""
"predicates","read","čitati","read","לקרוא","leggere","lese","читать","leer","läsa",""
"predicates","red","crvena","red","","rosso","rød","красный","rojo","röd","kırmızı"
"predicates","ride","jahati","ride","","","ri","катать/кататься","","","bin"
"predicates","rock","","","","cullare","","","","gunga",""
"predicates","run","trčati","run","לרוץ","correre","løpe","бегать/бежать","correr","springa","koş"
"predicates","sad","","","","triste","","","triste","",""
"predicates","salty","","","מלוח","","","","","",""
"predicates","same","","","","","","","igual","",""
"predicates","save","","","לשמור","","","","","",""
"predicates","say","reći","say","להגיד","dire","si","","decir","säga","söyle"
"predicates","scared","strašno","scared","","","redd","бояться, страшный","miedo","","kork"
"predicates","see","vidjeti","see","לראות","vedere","se","","ver","se","gör"
"predicates","seek","","","","cercare","","","","",""
"predicates","shake","","","","","","","","","salla"
"predicates","shh","","","","","","","","","sus"
"predicates","shout","","","","","","","","","bağır"
"predicates","show","","show","","","vise","показать","ensenar","visa","göster"
"predicates","sick","bolestan","sick","חולה","malato","syk","","enfermo","sjuk","hasta"
"predicates","sing","pjevati","sing","לשיר","cantare","synge","петь","cantar","sjunga",""
"predicates","sit","","","","sedersi","","сидеть","sentars","","otur"
"predicates","sleep","spavati","sleep","ללכת לישון","dormire","sove","спать","dormir","sova",""
"predicates","sleepy","pospan(o)","sleepy","","","sliten","","","",""
"predicates","slow","polako","","","piano","","","","",""
"predicates","smart","","","חכם","","","","","",""
"predicates","smell","","","","","","","","","kokla"
"predicates","smile","smijati se","smile","לחייך","ridere","smile","","","le",""
"predicates","soft","mekan(o)","soft","רך","morbido","myk","","suave","mjuk",""
"predicates","spill","","","","","","","","","dök"
"predicates","spit","","","","sputare","","","","",""
"predicates","splash","prskati","splash","להתיז","","plaske","","","plaska",""
"predicates","stand","","","","alzarsi","","стоять","","","kalk"
"predicates","stop","stati","stop","לכבות, לעצור","fermarsi","stoppe","","parar","sluta, stanna","dur"
"predicates","strike","","","","","","","","","çarp"
"predicates","swallow","","","","","","","","","yut"
"predicates","sweep","","","","","","подметать","","",""
"predicates","sweet","","","מתוק","dolce","","сладкий","","söt","tatlı"
"predicates","sweetly","","","","","","сладко","","",""
"predicates","swim","plivati","swim","לשחות","","svømme","купать/купаться","","simma",""
"predicates","swing","","","","dondolare","","","","",""
"predicates","swing (action)","ljuljati se","swing (action)","להתנדנד","","huske","качать/качаться","","","sallan"
"predicates","take","uzeti","take","לקחת","prendere","ta","брать/взять","llevar, tomar","ta","al"
"predicates","take away","","","","","","","","","götür"
"predicates","take off","","","","levare/togliere","","снимать","","","çıkar"
"predicates","take out","","","","","","","sacar","",""
"predicates","talk","","","","parlare","","","","",""
"predicates","tastily","","","","","","вкусно","","",""
"predicates","tasty","","","טעים","","","вкусный","","",""
"predicates","tear","trgati","","","","","","","","yırt"
"predicates","tell","","","לספר","","","","","",""
"predicates","thin","","","רזה","","","","","",""
"predicates","thirsty","žedan","thirsty","צמא","","tørst","","sed","törstig",""
"predicates","throw","baciti","throw","לזרוק","","kaste","бросать","aventar, tirar","kasta","at"
"predicates","tickle","škakljati","tickle","לדגדג","","kile","","","kittla","gir"
"predicates","tired","umoran","tired","עייף","stanco","trøtt","","cansado","trött, trot2",""
"predicates","touch","dirati","touch","לגעת","toccare","ta på","","tocar","röra","elle"
"predicates","toy (description)","","","","","","игрушечный","","",""
"predicates","travel","","","","","","","","","gez"
"predicates","turn","","","","girare","","","","","dön"
"predicates","turn around","","","להסתובב","","","","","",""
"predicates","turn off","","","","","","","apagar","",""
"predicates","turn on","","","","accendere","","включить","prender","",""
"predicates","ugly","ružno","","","brutto","","","feo","","çirkin"
"predicates","understand","","","","","","","","","anla"
"predicates","wait","","","","aspettare","","","esperse","",""
"predicates","wake","","","לקום","","","","","","uyan"
"predicates","walk","hodati","walk","","camminare","gå","гулять, ходить","caminar","gå","yürü"
"predicates","wanna","","","","","","хотеть","querer","","iste"
"predicates","warm","toplo","","","","","теплый","","",""
"predicates","warmly","","","","","","тепло","","",""
"predicates","wash","prati","wash","לרחוץ","lavare","vaske","мыть/мыться","lavar","tvätta","yıka"
"predicates","watch (action)","paziti","watch (action)","","","holde øye med","","","","seyret"
"predicates","wave","","","","","","","","","el salla"
"predicates","wear","","","","","","","","","giydir"
"predicates","well","","","","","","хорошо","","",""
"predicates","wet","mok(ro)","wet","רטוב","bagnato","våt","мокрый","mojarse","våt","islan, islak"
"predicates","wetly","","","","","","мокро","","",""
"predicates","white","","","","","","белый","","",""
"predicates","wipe","brisati","wipe","לנגב","","","вытирать","","","sil"
"predicates","work (action)","","","","","","","trabaja","",""
"predicates","write","pisati","write","לכתוב","scrivere","skrive","","escribi","skriva","yaz"
"predicates","yellow","","","","giallo","","желтый","amarill","",""
"predicates","yucky","","yucky","מגעיל","","ekkelt","","fuchi","äcklig",""
